Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,miss.pahia,2021-04-24T22:05:21Z,1,,60808b47308bb700227a2bf2
spotify:track:7qvxFz3JodM0A7xEM7k3YD,miss.pahia,2021-04-24T22:05:21Z,1,,60808b47308bb700227a2bf2
spotify:track:6ic8OlLUNEATToEFU3xmaH,miss.pahia,2021-04-24T22:05:21Z,1,,60808b47308bb700227a2bf2
spotify:track:62BxlOvQCjLNQA5ARA4Dug,miss.pahia,2021-04-24T22:05:21Z,-1,Gosto deles mas essa é meio pombo,60808b47308bb700227a2bf2
spotify:track:2pmtavvgqZN52EePYxutgk,miss.pahia,2021-04-24T22:05:21Z,-1,"Adorei, nota zero",60808b47308bb700227a2bf2
spotify:track:2n4uOdMHzEvcZ0KP7iQnay,miss.pahia,2021-04-24T22:05:21Z,1,,60808b47308bb700227a2bf2
spotify:track:2goLsvvODILDzeeiT4dAoR,miss.pahia,2021-04-24T22:05:21Z,2,"Bem bolado, bem bolado...",60808b47308bb700227a2bf2
spotify:track:21pySLskKIKrhDziCX5ojQ,miss.pahia,2021-04-24T22:05:21Z,1,Dei bosta pra outra música da Pussycat mas essa eu curtchy.,60808b47308bb700227a2bf2
spotify:track:0Rh1fcnWLMty7o2MU7PkME,miss.pahia,2021-04-24T22:05:21Z,4,"Quando vi os 6 minutos quis matar o colega, mas superei o preconceito e no final tava lavando a louça e rebolando a raba. Minha favorita da playlist.",60808b47308bb700227a2bf2
spotify:track:0GWYApQBwErVPkyXYCTJjI,miss.pahia,2021-04-24T22:05:21Z,-1,Música de fundo da C&A,60808b47308bb700227a2bf2
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,12146171815,2021-04-24T20:14:01Z,2,Era minha primeira opção! esse comeback foi tudo!!,60808b47308bb700227a2bf2
spotify:track:7qvxFz3JodM0A7xEM7k3YD,12146171815,2021-04-24T20:14:01Z,2,Eu amo demais essa música!!!,60808b47308bb700227a2bf2
spotify:track:6ie2Bw3xLj2JcGowOlcMhb,12146171815,2021-04-24T20:14:01Z,2,A MELHOR DELA!!!,60808b47308bb700227a2bf2
spotify:track:6ic8OlLUNEATToEFU3xmaH,12146171815,2021-04-24T20:14:01Z,-1,Acho chatinha,60808b47308bb700227a2bf2
spotify:track:2pmtavvgqZN52EePYxutgk,12146171815,2021-04-24T20:14:01Z,1,HINO!!!,60808b47308bb700227a2bf2
spotify:track:2n4uOdMHzEvcZ0KP7iQnay,12146171815,2021-04-24T20:14:01Z,1,Boa!,60808b47308bb700227a2bf2
spotify:track:2goLsvvODILDzeeiT4dAoR,12146171815,2021-04-24T20:14:01Z,1,Única que conheço dela porém PERFEITA!!,60808b47308bb700227a2bf2
spotify:track:21pySLskKIKrhDziCX5ojQ,12146171815,2021-04-24T20:14:01Z,1,Tudo! ,60808b47308bb700227a2bf2
spotify:track:0Rh1fcnWLMty7o2MU7PkME,12146171815,2021-04-24T20:14:01Z,-1,meu deus essa música é pessima hahahaha,60808b47308bb700227a2bf2
spotify:track:0Qh38w01QRXK6KHIv0e3hb,12146171815,2021-04-24T20:14:01Z,1,Demorei a gostar mas quando gostei amei,60808b47308bb700227a2bf2
spotify:track:0GWYApQBwErVPkyXYCTJjI,12146171815,2021-04-24T20:14:01Z,-1,Achei esse comeback extremamente fraco,60808b47308bb700227a2bf2
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,-1,"Não sabia que o comeback tinha sido com essa, mostrando que não houve relevância pra mim",60808b47308bb700227a2bf2
spotify:track:7qvxFz3JodM0A7xEM7k3YD,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,0,Única single bonzinho da era.,60808b47308bb700227a2bf2
spotify:track:6ie2Bw3xLj2JcGowOlcMhb,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,4,Foi minha segunda opção ,60808b47308bb700227a2bf2
spotify:track:6ic8OlLUNEATToEFU3xmaH,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,1,Estava tendo uma discussão no twitter esses dias desse álbum não ser um comeback e sim o Circus. Eu que vivi digo que esse foi e essa música foi BOOM mas não acho o álbum tão bom quanto seu sucessor.,60808b47308bb700227a2bf2
spotify:track:62BxlOvQCjLNQA5ARA4Dug,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,1,,60808b47308bb700227a2bf2
spotify:track:2n4uOdMHzEvcZ0KP7iQnay,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,-1,Não me tocou,60808b47308bb700227a2bf2
spotify:track:2goLsvvODILDzeeiT4dAoR,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,-1,Já falei que não gosto dessa música?,60808b47308bb700227a2bf2
spotify:track:22vgEDb5hykfaTwLuskFGD,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,3,Esse comeback é incrível ,60808b47308bb700227a2bf2
spotify:track:21pySLskKIKrhDziCX5ojQ,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,1,Só quem viveu sabe,60808b47308bb700227a2bf2
spotify:track:0Rh1fcnWLMty7o2MU7PkME,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,0,Não acho uma boa música da banda,60808b47308bb700227a2bf2
spotify:track:0Qh38w01QRXK6KHIv0e3hb,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,0,Engraçado que não me marcou tanto como um grande comeback,60808b47308bb700227a2bf2
spotify:track:0GWYApQBwErVPkyXYCTJjI,225u5rt6x6gyaesziy4u7dloi,2021-04-24T16:40:05Z,1,Eu ouvi tanto que cansei. Mas é uma das que mais representa o tema,60808b47308bb700227a2bf2
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,,60808b47308bb700227a2bf2
spotify:track:7qvxFz3JodM0A7xEM7k3YD,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,2,Nós estamos todos acorrentados ao ritmo?,60808b47308bb700227a2bf2
spotify:track:6ie2Bw3xLj2JcGowOlcMhb,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,,60808b47308bb700227a2bf2
spotify:track:6ic8OlLUNEATToEFU3xmaH,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,,60808b47308bb700227a2bf2
spotify:track:62BxlOvQCjLNQA5ARA4Dug,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,-2,,60808b47308bb700227a2bf2
spotify:track:2goLsvvODILDzeeiT4dAoR,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,3,"Quando três corações porque lembro dessa música em Elite Beat Agents, um dos meus jogos de ritmo favoritos.",60808b47308bb700227a2bf2
spotify:track:22vgEDb5hykfaTwLuskFGD,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,,60808b47308bb700227a2bf2
spotify:track:21pySLskKIKrhDziCX5ojQ,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,"Não sabia que essa música era de comeback, mas ok",60808b47308bb700227a2bf2
spotify:track:0Rh1fcnWLMty7o2MU7PkME,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,-1,"muito chata e repetitiva. Quando achei que ia acabar, ela continua",60808b47308bb700227a2bf2
spotify:track:0GWYApQBwErVPkyXYCTJjI,zjyemjcg33i8ho5sj0ofmi8j4,2021-04-24T15:21:01Z,1,"Já enjoei, mas ganha coração",60808b47308bb700227a2bf2
spotify:track:7s0lDK7y3XLmI7tcsRAbW0,bsf19p2sjsugrfay2ziuj8gyt,2021-04-24T01:01:17Z,1,Amei essa escolha. ,60808b47308bb700227a2bf2
